is_truncated,original_length,true_labels,pred_labels
False,222,1.2 Implicit,1.1 Explicit
False,507,1.1 Explicit,1.1 Explicit
False,176,1.1 Explicit,2.4 General
True,987,2.4 General,1.1 Explicit
False,250,2.7 Claims ignorance,1.1 Explicit
True,609,2.4 General,1.2 Implicit
False,150,1.1 Explicit,1.1 Explicit
False,114,1.2 Implicit,2.1 Dodging
False,210,1.1 Explicit,1.1 Explicit
False,167,1.1 Explicit,1.1 Explicit
False,306,1.1 Explicit,2.4 General
True,664,2.4 General,1.2 Implicit
False,187,2.7 Claims ignorance,2.1 Dodging
False,299,2.1 Dodging,2.1 Dodging
True,582,1.1 Explicit,2.1 Dodging
False,276,1.1 Explicit,1.2 Implicit
False,65,1.1 Explicit,1.1 Explicit
False,61,1.1 Explicit,1.1 Explicit
True,1053,2.1 Dodging,2.1 Dodging
False,227,1.1 Explicit,1.1 Explicit
False,332,1.1 Explicit,1.1 Explicit
True,989,1.2 Implicit,1.1 Explicit
False,462,1.1 Explicit,1.1 Explicit
False,283,1.1 Explicit,2.1 Dodging
False,278,2.1 Dodging,2.1 Dodging
True,550,1.1 Explicit,1.1 Explicit
False,263,1.1 Explicit,2.1 Dodging
False,152,2.7 Claims ignorance,2.7 Claims ignorance
False,115,2.8 Clarification,2.1 Dodging
False,147,1.1 Explicit,2.1 Dodging
False,482,1.2 Implicit,2.1 Dodging
True,929,2.1 Dodging,1.2 Implicit
False,461,1.1 Explicit,2.4 General
False,424,1.1 Explicit,2.1 Dodging
True,566,2.4 General,1.2 Implicit
True,800,1.1 Explicit,1.2 Implicit
False,283,1.1 Explicit,2.1 Dodging
True,821,2.4 General,2.1 Dodging
False,45,1.1 Explicit,1.1 Explicit
True,880,1.2 Implicit,1.2 Implicit
True,630,2.1 Dodging,2.1 Dodging
False,264,2.7 Claims ignorance,2.6 Declining to answer
False,494,1.1 Explicit,2.4 General
False,348,2.2 Deflection,2.1 Dodging
True,519,1.1 Explicit,1.1 Explicit
False,437,2.7 Claims ignorance,2.1 Dodging
True,836,1.1 Explicit,1.2 Implicit
True,583,1.1 Explicit,1.1 Explicit
True,559,2.1 Dodging,2.4 General
False,377,2.1 Dodging,2.1 Dodging
True,810,1.1 Explicit,1.2 Implicit
False,100,2.6 Declining to answer,2.6 Declining to answer
True,535,1.1 Explicit,2.4 General
False,48,1.1 Explicit,1.1 Explicit
True,646,2.1 Dodging,1.2 Implicit
True,870,1.1 Explicit,1.2 Implicit
False,52,1.2 Implicit,2.1 Dodging
True,932,2.4 General,1.2 Implicit
False,175,2.1 Dodging,2.1 Dodging
True,569,2.4 General,2.4 General
True,639,1.1 Explicit,1.1 Explicit
False,432,1.1 Explicit,2.1 Dodging
False,379,2.1 Dodging,2.4 General
True,908,2.1 Dodging,1.2 Implicit
True,1057,2.4 General,1.1 Explicit
False,446,2.1 Dodging,1.1 Explicit
False,487,2.1 Dodging,2.1 Dodging
False,296,2.7 Claims ignorance,2.1 Dodging
False,222,1.1 Explicit,1.1 Explicit
True,1454,2.4 General,2.1 Dodging
False,498,2.4 General,2.4 General
False,35,2.1 Dodging,2.1 Dodging
True,1048,1.1 Explicit,2.1 Dodging
False,308,2.4 General,1.1 Explicit
True,1575,2.4 General,1.2 Implicit
True,820,2.4 General,1.2 Implicit
True,546,1.1 Explicit,1.1 Explicit
True,536,1.2 Implicit,1.1 Explicit
False,103,1.2 Implicit,1.1 Explicit
True,1173,1.1 Explicit,1.2 Implicit
False,270,1.1 Explicit,1.1 Explicit
True,912,1.1 Explicit,1.1 Explicit
False,346,2.4 General,2.4 General
True,655,1.1 Explicit,1.2 Implicit
False,354,1.1 Explicit,1.1 Explicit
False,264,2.1 Dodging,2.1 Dodging
True,1406,2.4 General,1.2 Implicit
False,118,2.1 Dodging,2.1 Dodging
True,901,2.4 General,2.1 Dodging
False,189,2.1 Dodging,2.1 Dodging
True,749,2.1 Dodging,2.6 Declining to answer
False,31,1.1 Explicit,1.1 Explicit
False,139,2.2 Deflection,2.4 General
True,1747,1.1 Explicit,1.2 Implicit
False,455,2.4 General,1.1 Explicit
True,763,1.1 Explicit,1.1 Explicit
False,375,1.2 Implicit,2.1 Dodging
True,689,2.2 Deflection,1.2 Implicit
False,236,1.1 Explicit,1.1 Explicit
True,579,1.1 Explicit,2.1 Dodging
False,398,1.2 Implicit,1.1 Explicit
True,779,1.1 Explicit,1.1 Explicit
True,533,2.1 Dodging,1.2 Implicit
False,221,1.2 Implicit,2.1 Dodging
False,405,1.1 Explicit,2.1 Dodging
False,235,1.1 Explicit,2.6 Declining to answer
True,781,1.1 Explicit,1.1 Explicit
False,69,1.1 Explicit,1.1 Explicit
True,974,1.2 Implicit,2.1 Dodging
True,722,1.1 Explicit,2.1 Dodging
False,302,1.1 Explicit,2.1 Dodging
True,836,1.2 Implicit,1.1 Explicit
True,701,2.4 General,2.1 Dodging
True,703,2.1 Dodging,2.1 Dodging
False,41,1.1 Explicit,1.1 Explicit
False,506,2.1 Dodging,1.1 Explicit
False,199,2.1 Dodging,2.1 Dodging
False,249,2.4 General,2.1 Dodging
True,550,1.1 Explicit,1.1 Explicit
False,348,1.1 Explicit,2.1 Dodging
True,538,1.1 Explicit,2.1 Dodging
False,256,2.4 General,2.1 Dodging
True,824,2.1 Dodging,2.1 Dodging
True,885,1.1 Explicit,1.2 Implicit
True,527,1.1 Explicit,1.1 Explicit
False,441,1.1 Explicit,2.1 Dodging
False,223,2.4 General,2.4 General
False,104,2.1 Dodging,2.1 Dodging
False,65,2.1 Dodging,1.1 Explicit
True,623,1.2 Implicit,2.1 Dodging
True,640,2.1 Dodging,1.2 Implicit
False,424,1.1 Explicit,2.4 General
False,346,2.1 Dodging,2.4 General
True,548,2.1 Dodging,1.1 Explicit
False,334,1.1 Explicit,2.1 Dodging
True,672,2.4 General,2.1 Dodging
False,305,2.2 Deflection,2.4 General
False,303,2.4 General,2.4 General
True,745,2.1 Dodging,1.2 Implicit
False,402,2.4 General,2.1 Dodging
True,1442,2.4 General,2.1 Dodging
False,359,2.1 Dodging,2.6 Declining to answer
False,507,1.2 Implicit,2.1 Dodging
False,416,2.7 Claims ignorance,2.1 Dodging
False,53,1.1 Explicit,1.1 Explicit
False,370,2.2 Deflection,2.1 Dodging
False,36,2.6 Declining to answer,2.6 Declining to answer
True,924,1.1 Explicit,1.1 Explicit
False,232,2.1 Dodging,2.1 Dodging
True,930,1.2 Implicit,1.2 Implicit
True,629,2.4 General,1.2 Implicit
True,1047,1.1 Explicit,1.1 Explicit
False,265,1.2 Implicit,1.1 Explicit
False,219,1.1 Explicit,1.1 Explicit
False,188,2.1 Dodging,2.4 General
False,168,2.4 General,2.4 General
False,209,1.1 Explicit,2.1 Dodging
True,988,2.1 Dodging,1.1 Explicit
False,290,1.1 Explicit,1.1 Explicit
True,1580,2.4 General,1.2 Implicit
True,624,1.2 Implicit,2.1 Dodging
False,281,2.1 Dodging,2.1 Dodging
False,411,2.1 Dodging,2.4 General
True,690,2.1 Dodging,2.1 Dodging
True,537,1.2 Implicit,1.1 Explicit
True,834,1.1 Explicit,1.2 Implicit
False,80,2.1 Dodging,2.1 Dodging
False,385,1.2 Implicit,2.4 General
True,863,2.4 General,1.1 Explicit
False,38,1.1 Explicit,1.1 Explicit
False,196,1.1 Explicit,1.1 Explicit
True,619,2.4 General,1.2 Implicit
True,636,2.1 Dodging,1.2 Implicit
False,59,1.2 Implicit,1.1 Explicit
True,1042,1.1 Explicit,1.2 Implicit
True,608,2.4 General,1.1 Explicit
True,1400,2.4 General,1.2 Implicit
False,346,2.2 Deflection,2.4 General
False,450,2.4 General,2.1 Dodging
True,654,1.1 Explicit,1.2 Implicit
True,520,1.1 Explicit,2.1 Dodging
False,293,2.1 Dodging,2.1 Dodging
True,827,1.1 Explicit,1.2 Implicit
True,827,1.1 Explicit,1.2 Implicit
True,634,1.1 Explicit,2.1 Dodging
False,67,1.1 Explicit,1.1 Explicit
False,436,2.1 Dodging,1.1 Explicit
True,1444,2.1 Dodging,1.2 Implicit
False,442,2.4 General,2.1 Dodging
False,272,2.4 General,2.1 Dodging
True,729,1.1 Explicit,2.1 Dodging
False,437,2.2 Deflection,1.1 Explicit
False,485,2.1 Dodging,2.1 Dodging
False,493,2.1 Dodging,1.2 Implicit
False,354,2.4 General,2.1 Dodging
True,736,2.1 Dodging,2.1 Dodging
True,659,2.4 General,1.2 Implicit
True,775,1.1 Explicit,1.1 Explicit
False,45,2.8 Clarification,2.1 Dodging
True,764,2.1 Dodging,2.6 Declining to answer
False,467,1.1 Explicit,2.4 General
False,222,2.2 Deflection,2.6 Declining to answer
True,598,1.1 Explicit,1.1 Explicit
True,694,1.1 Explicit,2.1 Dodging
False,219,1.1 Explicit,1.1 Explicit
True,685,2.4 General,2.1 Dodging
True,1582,1.1 Explicit,1.2 Implicit
False,292,2.1 Dodging,2.1 Dodging
False,130,2.1 Dodging,2.1 Dodging
False,62,1.1 Explicit,1.1 Explicit
False,169,2.2 Deflection,2.1 Dodging
False,103,1.1 Explicit,1.1 Explicit
False,263,1.1 Explicit,2.1 Dodging
True,678,2.1 Dodging,2.1 Dodging
False,168,1.1 Explicit,2.4 General
True,1169,2.1 Dodging,2.1 Dodging
False,99,2.1 Dodging,2.1 Dodging
True,697,1.1 Explicit,1.2 Implicit
True,1414,1.2 Implicit,1.2 Implicit
False,498,1.1 Explicit,1.1 Explicit
False,304,2.6 Declining to answer,2.6 Declining to answer
True,856,1.1 Explicit,1.1 Explicit
False,58,1.1 Explicit,1.1 Explicit
True,693,1.1 Explicit,1.1 Explicit
True,931,2.4 General,1.1 Explicit
False,280,2.4 General,2.1 Dodging
False,347,2.7 Claims ignorance,2.1 Dodging
False,129,2.6 Declining to answer,2.1 Dodging
True,652,2.1 Dodging,1.2 Implicit
True,806,1.1 Explicit,1.1 Explicit
True,575,1.1 Explicit,1.2 Implicit
True,604,2.1 Dodging,1.2 Implicit
True,752,2.4 General,1.1 Explicit
True,1411,1.2 Implicit,1.2 Implicit
False,256,1.2 Implicit,2.1 Dodging
True,787,2.4 General,2.4 General
False,298,2.1 Dodging,2.4 General
True,517,1.2 Implicit,2.4 General
True,629,2.1 Dodging,2.1 Dodging
True,891,2.1 Dodging,2.1 Dodging
False,498,1.2 Implicit,1.1 Explicit
True,744,1.1 Explicit,1.2 Implicit
True,588,2.1 Dodging,2.1 Dodging
False,41,2.4 General,1.1 Explicit
False,73,1.1 Explicit,1.1 Explicit
True,648,1.1 Explicit,1.2 Implicit
True,736,1.1 Explicit,1.2 Implicit
False,114,2.8 Clarification,2.8 Clarification
False,352,2.1 Dodging,2.1 Dodging
False,354,1.1 Explicit,2.1 Dodging
True,515,2.4 General,1.1 Explicit
True,853,1.1 Explicit,1.2 Implicit
True,816,1.1 Explicit,1.1 Explicit
False,363,1.1 Explicit,1.1 Explicit
True,592,1.1 Explicit,1.1 Explicit
True,1037,1.1 Explicit,1.2 Implicit
False,356,1.2 Implicit,2.1 Dodging
True,557,2.4 General,2.4 General
True,766,2.4 General,2.4 General
False,99,2.1 Dodging,2.1 Dodging
False,138,1.1 Explicit,2.1 Dodging
False,94,1.1 Explicit,1.1 Explicit
False,62,2.8 Clarification,2.8 Clarification
True,929,2.2 Deflection,1.2 Implicit
True,584,1.1 Explicit,1.2 Implicit
True,971,2.1 Dodging,1.1 Explicit
True,788,2.2 Deflection,1.1 Explicit
True,684,1.1 Explicit,2.1 Dodging
False,321,1.2 Implicit,2.4 General
False,64,1.1 Explicit,1.1 Explicit
